answer,gen_answer,confidence,probe,correct
2,2,90,95,1
4,2,100,77,0
4,2,100,79,0
1,4,100,74,0
3,3,80,80,1
4,4,100,75,1
3,2,100,87,0
3,3,50,76,1
3,3,85,69,1
1,3,80,59,0
2,2,100,79,1
1,4,100,72,0
2,3,90,79,0
3,2,100,61,0
1,3,95,82,0
4,4,100,72,1
4,2,100,77,0
2,1,0,76,0
1,1,100,81,1
4,2,100,77,0
4,3,92,97,0
1,2,100,72,0
1,1,80,90,1
3,3,100,91,1
2,2,100,92,1
2,2,100,76,1
3,1,100,80,0
4,3,100,71,0
1,2,100,73,0
1,2,100,77,0
1,3,100,69,0
3,4,100,72,0
2,2,100,63,1
4,4,100,80,1
4,4,100,62,1
1,1,90,80,1
4,3,100,74,0
1,1,100,67,1
2,2,100,78,1
2,3,100,76,0
3,1,100,86,0
4,2,90,65,0
1,2,95,91,0
2,2,100,71,1
3,3,90,79,1
3,3,100,66,1
1,1,100,74,1
4,4,95,93,1
4,3,90,64,0
3,2,100,100,0
1,2,80,83,0
2,2,95,70,1
1,1,100,58,1
1,2,100,70,0
4,2,66,77,0
2,2,90,68,1
4,1,100,73,0
3,3,100,74,1
4,3,90,78,0
1,3,95,75,0
1,4,100,76,0
4,3,100,90,0
4,4,100,79,1
4,3,95,80,0
3,1,100,50,0
4,1,95,95,0
3,2,100,74,0
2,3,100,73,0
2,1,90,65,0
3,2,100,81,0
2,3,100,86,0
2,4,100,60,0
3,2,100,64,0
3,3,90,73,1
2,1,100,65,0
1,4,100,87,0
3,1,100,69,0
3,3,100,59,1
3,1,100,78,0
2,1,100,82,0
3,3,100,72,1
3,2,100,91,0
2,1,100,96,0
4,4,100,81,1
4,3,90,75,0
3,3,90,79,1
3,3,95,75,1
4,3,100,85,0
1,3,100,75,0
